propertyCode,propertyType,municipality,status,numPhotos,rooms,bathrooms,floor,size,priceByArea,parkingSpacePrice,exterior,hasVideo,hasPlan,has3DTour,has360,hasLift,isFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,latitude,longitude,price
97006818,chalet,Bétera,good,34,6,4,0,420.0,12.0,0.0,False,False,False,False,False,False,True,True,True,39.5781513,-0.4906761,5000.0
97657082,chalet,Riba-Roja de Túria,good,30,3,3,0,278.0,9.0,0.0,False,False,False,False,False,False,True,True,True,39.557964,-0.5448898,2500.0
97599621,chalet,Almarda,good,26,4,3,0,275.0,5.0,0.0,False,False,False,False,False,False,True,True,True,39.7129599,-0.1984937,1400.0
97491405,flat,València,good,40,1,2,3,148.0,11.0,0.0,True,False,False,False,False,True,True,False,False,39.4769742,-0.3770352,1600.0
97474450,flat,Sot de Chera,good,36,3,1,2,97.0,12.0,0.0,True,False,False,False,False,False,True,True,True,39.6222281,-0.9095646,1200.0
97464598,duplex,Paterna,good,33,5,2,2,160.0,6.0,0.0,True,False,False,False,False,True,True,False,False,39.5040195,-0.440165,950.0
97417986,flat,Playa de Farnals,good,22,2,1,4,65.0,18.0,0.0,True,False,False,False,False,True,True,True,True,39.561049,-0.2876418,1200.0
97302409,chalet,Tavernes de la Valldigna,good,21,4,1,0,100.0,24.0,0.0,False,False,False,False,False,False,True,True,True,39.0857343,-0.2199605,2400.0
97285364,studio,Xirivella,good,49,0,2,4,120.0,18.0,0.0,True,False,False,False,False,True,True,True,True,39.4634246,-0.4142248,2200.0
97274321,flat,València,good,30,1,1,1,60.0,23.0,0.0,True,False,False,False,False,True,True,False,False,39.47424,-0.3738373,1400.0
97224325,flat,València,good,28,4,2,0,151.0,13.0,0.0,True,False,False,False,False,False,True,True,True,39.4794651,-0.3742809,2000.0
97213676,chalet,Playa de Farnals,good,42,3,2,0,160.0,19.0,0.0,False,False,False,False,False,False,True,True,True,39.5659212,-0.2856595,3000.0
97029937,flat,València,good,40,2,2,3,148.0,14.0,0.0,True,False,False,False,False,True,True,False,False,39.4765742,-0.3756352,2000.0
97006912,chalet,Torrent,good,40,3,2,0,509.0,8.0,0.0,False,False,False,False,False,False,True,False,False,39.4315374,-0.6052955,4000.0
96978156,flat,València,good,30,3,1,1,112.0,14.0,0.0,True,False,False,False,False,True,True,False,False,39.4805259,-0.3784829,1600.0
96954204,flat,València,good,27,3,1,5,100.0,12.0,0.0,True,False,False,False,False,True,True,False,False,39.4696771,-0.3501975,1200.0
96870775,flat,Puerto de Sagunto,good,33,3,2,4,100.0,16.0,0.0,True,False,False,False,False,True,True,False,False,39.6630262,-0.2324732,1600.0
96831479,flat,Picanya,good,29,3,2,2,156.0,7.0,0.0,True,False,False,False,False,True,True,False,False,39.4341282,-0.431775,1050.0
96453444,flat,València,good,21,2,1,3,39.0,38.0,0.0,True,False,False,False,False,True,True,False,False,39.4720239,-0.3301017,1500.0
96453338,flat,València,good,21,2,1,3,40.0,41.0,0.0,True,False,False,False,False,True,True,False,False,39.4714239,-0.3322017,1650.0
96447510,chalet,Olocau,good,21,4,3,0,195.0,12.0,0.0,False,False,False,False,False,False,True,True,True,39.7007584,-0.5312564,2300.0
96384590,chalet,Olocau,good,39,5,3,0,200.0,11.0,0.0,False,False,False,False,False,False,True,True,True,39.65425,-0.52171,2100.0
96320388,flat,Daimus,good,21,4,2,8,82.0,21.0,0.0,True,False,False,False,False,True,True,False,False,38.981269,-0.149429,1700.0
96196909,chalet,La Pobla de Vallbona,good,104,3,2,0,130.0,19.0,0.0,False,False,False,False,False,False,True,False,False,39.6007818,-0.5556671,2500.0
96098244,flat,València,good,21,1,2,0,78.0,17.0,0.0,True,False,False,False,False,False,True,False,False,39.4783015,-0.3798625,1300.0
96068088,flat,València,good,30,5,4,3,307.0,8.0,0.0,True,False,False,False,False,True,True,False,False,39.4786376,-0.37652,2500.0
95889511,flat,València,good,35,3,1,2,74.0,14.0,0.0,True,False,False,False,False,False,True,False,False,39.477753,-0.3279767,1050.0
95724431,chalet,Chiva,good,43,4,3,0,280.0,10.0,0.0,False,False,False,False,False,False,True,True,True,39.4340381,-0.5606449,2800.0
95640164,chalet,Vilamarxant,good,21,3,3,0,130.0,19.0,0.0,False,False,False,False,False,False,True,True,True,39.568022,-0.629552,2500.0
