propertyCode,price,numPhotos,floor,rooms,bathrooms,size,parkingSpacePrice,exterior,hasParkingSpace,isParkingSpaceIncludedInPrice,hasLift,hasPlan,has360,has3DTour,hasVideo,propertyType,direction
89110143,650.0,35,4,0,1,40.0,0.0,False,False,False,False,True,False,False,False,studio,central
98336039,1400.0,22,0,4,2,135.0,0.0,True,False,False,True,False,False,False,False,flat,central
98335959,900.0,24,3,2,1,80.0,0.0,True,False,False,True,False,False,False,False,flat,central
96543243,600.0,19,7,2,2,180.0,0.0,True,True,True,True,False,False,False,False,penthouse,south
98335956,1500.0,37,3,4,2,133.0,0.0,True,True,True,True,False,False,False,False,flat,central
98335763,800.0,17,3,3,2,115.0,0.0,True,False,False,True,False,False,False,False,duplex,north
98335788,750.0,8,3,1,1,45.0,0.0,True,False,False,True,False,False,False,False,flat,central
98335702,800.0,19,2,3,1,90.0,0.0,True,False,False,True,False,False,False,False,flat,central
98335623,780.0,11,0,3,2,100.0,0.0,False,False,False,False,False,False,False,False,chalet,north
98335461,1350.0,28,8,4,2,114.0,0.0,True,False,False,True,False,False,False,True,flat,central
98335398,899.0,30,9,3,1,90.0,0.0,True,False,False,True,True,False,False,True,flat,central
98335335,1000.0,7,13,3,1,116.0,0.0,True,False,False,True,False,False,False,True,flat,central
36291521,620.0,10,7,0,1,40.0,0.0,True,True,True,True,False,False,False,False,studio,central
88522178,800.0,20,6,1,2,75.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
98335223,900.0,19,5,3,1,90.0,0.0,True,False,False,False,False,False,False,False,flat,central
39689938,525.0,4,2,0,1,30.0,0.0,True,False,False,True,False,False,False,False,studio,central
94418468,670.0,22,2,3,2,90.0,0.0,True,False,False,True,False,False,False,False,flat,central
98335024,800.0,21,1,3,2,105.0,0.0,True,False,False,True,False,False,False,False,flat,central
98334991,900.0,18,2,2,1,79.0,0.0,True,False,False,True,False,False,False,False,flat,central
98334860,1200.0,23,1,4,2,113.0,0.0,True,False,False,True,False,False,False,False,flat,central
98334548,1900.0,23,6,2,2,99.0,0.0,True,False,False,True,False,False,False,False,flat,central
35169188,850.0,20,2,3,1,110.0,0.0,True,False,False,True,False,True,False,False,flat,central
26632139,875.0,30,8,3,2,98.0,0.0,True,False,False,True,False,False,False,False,flat,central
98334449,2500.0,34,0,7,5,420.0,0.0,False,True,True,False,False,False,False,False,chalet,west
98307591,1900.0,39,5,3,2,115.0,0.0,True,False,False,True,False,False,False,False,flat,central
98197289,1150.0,28,8,2,1,70.0,0.0,True,False,False,True,False,False,False,False,flat,central
98195559,850.0,29,1,3,1,65.0,0.0,True,False,False,False,False,False,False,False,flat,central
98121577,2500.0,28,5,5,2,190.0,0.0,True,False,False,True,False,False,False,False,flat,central
98116282,1700.0,8,2,2,2,100.0,0.0,False,False,False,False,False,False,False,False,countryHouse,west
98047839,900.0,12,9,1,1,51.0,0.0,True,False,False,True,False,False,False,False,flat,central
98018324,1300.0,51,4,1,1,48.0,0.0,True,False,False,False,True,False,False,False,flat,central
97969642,1700.0,26,6,2,1,78.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
97959978,2200.0,40,0,4,2,154.0,0.0,False,True,True,False,False,False,False,False,chalet,south
97913246,1600.0,40,5,2,1,90.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
97875466,1300.0,16,1,1,1,55.0,0.0,False,False,False,False,True,False,False,False,chalet,central
97784804,1500.0,44,3,3,2,122.0,0.0,True,False,False,True,False,False,False,False,flat,central
97770213,2200.0,13,0,2,1,81.0,0.0,True,False,False,False,False,False,False,False,flat,central
97747767,3000.0,14,1,3,2,100.0,0.0,True,True,True,True,False,False,False,False,flat,north
97743051,1300.0,36,13,2,1,96.0,0.0,True,False,False,True,True,False,False,False,flat,central
97683608,1350.0,19,1,1,1,45.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
97599437,1200.0,10,3,4,2,100.0,0.0,True,False,False,True,False,False,False,False,flat,central
97499950,1800.0,23,5,2,2,56.0,0.0,True,False,False,False,False,False,False,False,penthouse,central
97429724,3500.0,22,1,2,1,65.0,0.0,True,True,True,True,False,False,False,False,flat,north
97429277,890.0,15,2,1,1,60.0,0.0,True,True,True,True,False,False,False,False,flat,north
97365829,2500.0,42,0,0,1,200.0,0.0,True,False,False,False,False,False,False,False,studio,central
97314478,1400.0,7,7,3,2,140.0,0.0,True,False,False,True,False,False,False,False,flat,central
97301635,2200.0,44,0,5,3,220.0,0.0,False,True,True,False,False,False,False,False,chalet,west
97198121,799.0,12,1,1,1,45.0,0.0,True,False,False,False,False,False,False,False,flat,central
96943650,1400.0,18,3,1,1,55.0,0.0,True,False,False,True,False,False,False,False,flat,central
96846801,1300.0,21,2,2,1,65.0,0.0,True,False,False,False,True,False,False,False,flat,central
96798740,900.0,27,7,2,1,80.0,0.0,True,True,True,True,True,False,False,False,flat,central
96694381,950.0,17,1,0,2,80.0,0.0,True,True,True,True,False,False,False,False,studio,central
96453497,950.0,20,3,2,1,24.0,0.0,True,False,False,True,False,False,False,False,flat,central
96015778,1300.0,10,1,1,1,62.0,0.0,True,False,False,False,False,False,False,False,flat,central
95786571,1600.0,32,4,2,1,88.0,0.0,True,True,True,True,True,False,False,False,flat,central
98334286,890.0,29,1,1,1,79.0,0.0,True,False,False,False,False,False,False,True,flat,central
98334030,900.0,18,3,2,1,80.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333977,1500.0,38,9,3,2,157.0,0.0,True,False,False,True,False,False,False,False,flat,central
85662248,725.0,12,5,0,1,55.0,0.0,True,True,True,True,False,False,False,False,studio,central
98333920,1100.0,43,7,3,2,131.0,0.0,True,False,False,True,False,False,True,False,penthouse,north
98333875,600.0,19,1,2,2,105.0,0.0,True,False,False,True,False,False,False,False,flat,north
98333874,1200.0,24,2,3,2,120.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333862,600.0,21,2,2,1,80.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333850,400.0,11,6,2,1,92.0,0.0,True,False,False,True,False,False,False,False,flat,south
93231014,1400.0,9,7,2,1,100.0,0.0,True,False,False,True,True,False,False,False,penthouse,central
94501764,1100.0,18,1,4,2,120.0,0.0,True,False,False,True,True,False,False,False,flat,central
95482691,1400.0,30,7,3,2,140.0,0.0,True,False,False,True,False,False,False,False,flat,central
93577106,1250.0,36,2,4,3,180.0,0.0,True,False,False,True,False,False,False,False,flat,north
92270328,1800.0,33,5,3,2,109.0,0.0,True,True,True,True,False,False,False,False,penthouse,central
91714132,1200.0,12,1,1,1,55.0,0.0,True,True,True,True,True,False,False,False,flat,central
98333542,800.0,16,1,4,2,112.0,0.0,True,False,False,False,False,False,False,False,flat,north
97924816,2300.0,24,3,6,4,251.0,0.0,True,False,False,True,True,False,False,True,flat,central
97983385,1200.0,30,3,2,2,106.0,0.0,True,True,True,True,True,False,False,True,duplex,central
98333395,850.0,17,7,4,2,112.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333316,850.0,26,2,3,1,90.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333295,750.0,6,4,3,1,72.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333252,900.0,1,3,4,2,101.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333209,670.0,16,3,2,1,85.0,0.0,True,False,False,True,False,False,False,True,flat,central
98333183,400.0,6,4,0,1,34.0,0.0,True,False,False,False,False,False,False,False,studio,north
92128797,1200.0,36,1,5,2,97.0,0.0,True,False,False,True,True,False,False,True,flat,central
98333179,850.0,10,2,3,1,85.0,0.0,True,False,False,False,False,False,False,False,flat,central
82405014,899.0,10,2,1,1,75.0,0.0,True,False,False,True,False,False,False,False,flat,central
98333136,1400.0,36,5,5,3,99.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
92242662,1200.0,35,1,5,2,97.0,0.0,True,False,False,True,True,False,False,True,flat,central
92407379,1800.0,12,0,4,2,150.0,0.0,False,False,False,False,True,False,False,True,chalet,central
82997341,750.0,18,1,2,1,90.0,0.0,True,False,False,True,False,False,False,False,flat,central
98332974,1100.0,23,3,3,2,100.0,0.0,True,False,False,True,False,False,False,False,flat,central
98332938,1225.0,23,1,1,1,58.0,0.0,True,False,False,True,True,False,False,True,flat,central
94175419,1200.0,11,2,3,2,145.0,0.0,True,False,False,True,False,False,False,False,flat,central
96937187,650.0,39,2,3,1,58.0,0.0,True,False,False,False,True,True,False,True,flat,central
96793064,715.0,23,3,3,1,69.0,0.0,True,False,False,False,True,True,False,True,flat,central
98332755,675.0,18,1,1,1,55.0,0.0,True,True,True,True,False,False,False,False,flat,central
98332605,900.0,20,3,2,1,80.0,0.0,True,False,False,True,True,False,False,True,flat,central
98270365,2200.0,16,1,3,2,150.0,0.0,True,False,False,True,False,False,False,False,flat,central
